Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=033500,2020.11.18,"11,100",400,-3.48%,"933,785",-956,"+9,090","1,146,862",4.22%
https://finance.naver.com/item/frgn.nhn?code=033500,2020.11.17,"11,500",0,0.00%,"1,270,348","-30,427","-36,093","1,161,472",4.27%
https://finance.naver.com/item/frgn.nhn?code=068290,2020.11.23,"25,850","1,450",+5.94%,"1,357,859","+16,830","+65,834","149,981",1.50%
https://finance.naver.com/item/frgn.nhn?code=068290,2020.11.20,"24,400",450,+1.88%,"519,317","-1,812",+88,"84,147",0.84%
https://finance.naver.com/item/frgn.nhn?code=068290,2020.11.19,"23,950",400,+1.70%,"1,527,130",+42,"-14,106","84,059",0.84%
https://finance.naver.com/item/frgn.nhn?code=068290,2020.11.18,"23,550",350,-1.46%,"178,601","-1,530","+2,971","98,165",0.98%
https://finance.naver.com/item/frgn.nhn?code=068290,2020.11.17,"23,900",250,-1.04%,"276,895","-1,067",+870,"95,194",0.95%
https://finance.naver.com/item/frgn.nhn?code=005930,2020.11.23,"67,500","2,800",+4.33%,"26,782,398","+637,477","+3,796,824","3,378,202,708",56.59%
https://finance.naver.com/item/frgn.nhn?code=005930,2020.11.20,"64,700",100,+0.15%,"15,068,682","-1,150,454","-423,971","3,374,405,884",56.52%
https://finance.naver.com/item/frgn.nhn?code=005930,2020.11.19,"64,600",200,-0.31%,"16,590,290","-966,779","-672,178","3,374,440,535",56.53%
https://finance.naver.com/item/frgn.nhn?code=005930,2020.11.18,"64,800",900,-1.37%,"22,963,790","+372,944","-1,234,779","3,375,031,754",56.54%
https://finance.naver.com/item/frgn.nhn?code=005930,2020.11.17,"65,700",600,-0.90%,"30,204,089","-1,791,090","+1,442,343","3,376,328,996",56.56%
https://finance.naver.com/item/frgn.nhn?code=023590,2020.11.23,"21,450",850,+4.13%,"382,946","+17,043","+8,773","10,138,139",22.60%
https://finance.naver.com/item/frgn.nhn?code=023590,2020.11.20,"20,600",0,0.00%,"144,396","-14,361","-16,493","10,129,366",22.58%
https://finance.naver.com/item/frgn.nhn?code=023590,2020.11.19,"20,600",350,-1.67%,"248,544","-10,367","-30,186","10,145,859",22.61%
https://finance.naver.com/item/frgn.nhn?code=023590,2020.11.18,"20,950",300,-1.41%,"176,226","-11,258","-11,332","10,174,045",22.68%
https://finance.naver.com/item/frgn.nhn?code=023590,2020.11.17,"21,250",350,+1.67%,"325,656","+16,336","-14,569","10,185,377",22.70%
https://finance.naver.com/item/frgn.nhn?code=030520,2020.11.23,"18,100",400,+2.26%,"272,140","+39,255","-3,152","2,842,361",11.57%
https://finance.naver.com/item/frgn.nhn?code=030520,2020.11.20,"17,700",300,-1.67%,"184,711","-2,559","-4,267","2,845,513",11.58%
https://finance.naver.com/item/frgn.nhn?code=030520,2020.11.19,"18,000",700,+4.05%,"486,116","-1,499","-14,259","2,849,780",11.60%
https://finance.naver.com/item/frgn.nhn?code=030520,2020.11.18,"17,300",200,+1.17%,"135,595","-2,015","+3,822","2,864,039",11.65%
https://finance.naver.com/item/frgn.nhn?code=030520,2020.11.17,"17,100",50,-0.29%,"134,976","-3,266","+5,085","2,860,217",11.64%
https://finance.naver.com/item/frgn.nhn?code=016360,2020.11.23,"39,800","1,550",+4.05%,"870,925","+209,361","+43,487","23,001,233",25.76%
https://finance.naver.com/item/frgn.nhn?code=016360,2020.11.20,"38,250",200,+0.53%,"416,334","-67,246","-76,542","22,957,746",25.71%
https://finance.naver.com/item/frgn.nhn?code=016360,2020.11.19,"38,050",50,+0.13%,"484,963","-27,936","-11,351","23,032,650",25.79%
https://finance.naver.com/item/frgn.nhn?code=016360,2020.11.18,"38,000",800,-2.06%,"691,803","+57,248","-94,233","23,027,631",25.79%
