Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=108320,2020.05.20,"37,200",700,+1.92%,"328,072","+104,572","-21,066","5,225,390",32.13%
https://finance.naver.com/item/frgn.nhn?code=108320,2020.05.19,"36,500","1,600",+4.58%,"373,670","+63,607","-15,686","5,245,649",32.25%
https://finance.naver.com/item/frgn.nhn?code=024090,2020.05.25,"10,650",0,0.00%,"16,369",+2,"+1,071","133,180",1.14%
https://finance.naver.com/item/frgn.nhn?code=024090,2020.05.22,"10,650",100,-0.93%,"9,340",-17,-868,"132,109",1.13%
https://finance.naver.com/item/frgn.nhn?code=024090,2020.05.21,"10,750",0,0.00%,"16,875",+1,+789,"132,977",1.14%
https://finance.naver.com/item/frgn.nhn?code=024090,2020.05.20,"10,750",0,0.00%,"17,309",-219,"+1,795","132,188",1.13%
https://finance.naver.com/item/frgn.nhn?code=024090,2020.05.19,"10,750",100,+0.94%,"48,533",-11,"+1,245","130,393",1.11%
https://finance.naver.com/item/frgn.nhn?code=293780,2020.05.25,"26,600",400,-1.48%,"178,273",+224,"+2,581","58,954",0.54%
https://finance.naver.com/item/frgn.nhn?code=293780,2020.05.22,"27,000",250,+0.93%,"234,928",-793,"-4,766","56,373",0.51%
https://finance.naver.com/item/frgn.nhn?code=293780,2020.05.21,"26,750",400,+1.52%,"224,297",-190,"+4,967","61,139",0.55%
https://finance.naver.com/item/frgn.nhn?code=293780,2020.05.20,"26,350",850,+3.33%,"481,550","-30,114","+1,688","62,751",0.57%
https://finance.naver.com/item/frgn.nhn?code=293780,2020.05.19,"25,500",600,-2.30%,"243,151","-16,572","-11,853","60,960",0.55%
https://finance.naver.com/item/frgn.nhn?code=067160,2020.05.25,"60,000","3,500",+6.19%,"592,606","+114,809","-73,444","4,123,609",35.87%
https://finance.naver.com/item/frgn.nhn?code=067160,2020.05.22,"56,500","1,300",-2.25%,"160,450","-13,653","-25,468","4,197,053",36.51%
https://finance.naver.com/item/frgn.nhn?code=067160,2020.05.21,"57,800",100,+0.17%,"108,534","-22,942","-7,924","4,219,816",36.71%
https://finance.naver.com/item/frgn.nhn?code=067160,2020.05.20,"57,700",400,+0.70%,"130,286","-11,050","-7,585","4,226,624",36.77%
https://finance.naver.com/item/frgn.nhn?code=067160,2020.05.19,"57,300",500,-0.87%,"212,657","-35,757","-52,023","4,233,597",36.83%
https://finance.naver.com/item/frgn.nhn?code=241790,2020.05.25,"14,600","1,100",+8.15%,"967,259","+28,748","+57,801","182,054",1.82%
https://finance.naver.com/item/frgn.nhn?code=241790,2020.05.22,"13,500",550,+4.25%,"672,678","+106,601","+8,465","124,253",1.24%
https://finance.naver.com/item/frgn.nhn?code=241790,2020.05.21,"12,950",200,+1.57%,"471,329","+69,491","+34,615","115,788",1.16%
https://finance.naver.com/item/frgn.nhn?code=241790,2020.05.20,"12,750",900,+7.59%,"384,209","+59,644","+20,297","81,173",0.81%
https://finance.naver.com/item/frgn.nhn?code=241790,2020.05.19,"11,850",0,0.00%,"673,661","-161,362","-3,744","60,876",0.61%
https://finance.naver.com/item/frgn.nhn?code=278280,2020.05.25,"84,200","7,600",+9.92%,"597,636","+23,698","+23,060","396,399",3.96%
